Date,Location,SolnAge,Concentration,Time,lakeTemp,lakePH,lakeCond,lake02,solnTemp,solnpH,solnCond,solnO2,dead
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,30,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,30,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,30,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,30,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,30,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,45,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,45,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,45,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,45,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,45,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0.25,60,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,5,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
7/11/2016,NE of Blackbird Bay,0,0,15,19.31,8.12,0.309,9.63,20,8.12,0.309,9.63,0
